instancia,n,m,seed,costo,bks,gap_pct,tiempo_s
E-n23-k3,22,3,16,569.0,569.0,0.0,0.09818830000585876
E-n23-k3,22,3,17,569.0,569.0,0.0,0.09778090001782402
E-n23-k3,22,3,18,569.0,569.0,0.0,0.09870370000135154
E-n23-k3,22,3,19,569.0,569.0,0.0,0.10204130000784062
E-n23-k3,22,3,20,570.0,569.0,0.17574692442882248,0.09480710001662374
E-n23-k3,22,3,21,569.0,569.0,0.0,0.09502670000074431
E-n23-k3,22,3,22,569.0,569.0,0.0,0.09324570000171661
E-n23-k3,22,3,23,569.0,569.0,0.0,0.0910749000031501
E-n23-k3,22,3,24,569.0,569.0,0.0,0.09122960001695901
E-n23-k3,22,3,25,569.0,569.0,0.0,0.0950991999998223
E-n23-k3,22,3,26,569.0,569.0,0.0,0.09555850000469945
E-n23-k3,22,3,27,570.0,569.0,0.17574692442882248,0.09569349998491816
E-n23-k3,22,3,28,569.0,569.0,0.0,0.09344750002492219
E-n23-k3,22,3,29,570.0,569.0,0.17574692442882248,0.09257700000307523
E-n23-k3,22,3,30,569.0,569.0,0.0,0.09652200000709854
A-n32-k5,31,5,0,786.0,784.0,0.25510204081632654,0.10454249999020249
A-n32-k5,31,5,1,808.0,784.0,3.061224489795918,0.10379839999950491
A-n32-k5,31,5,2,786.0,784.0,0.25510204081632654,0.10667839998495765
A-n32-k5,31,5,3,848.0,784.0,8.16326530612245,0.10499240001081489
A-n32-k5,31,5,4,829.0,784.0,5.7397959183673475,0.10505290000583045
A-n32-k5,31,5,5,854.0,784.0,8.928571428571429,0.10741580001194961
A-n32-k5,31,5,6,815.0,784.0,3.9540816326530615,0.11016539999400266
A-n32-k5,31,5,7,789.0,784.0,0.6377551020408163,0.10378870001295581
A-n32-k5,31,5,8,853.0,784.0,8.801020408163266,0.1076281999994535
A-n32-k5,31,5,9,846.0,784.0,7.908163265306123,0.10597870001220144
A-n32-k5,31,5,10,842.0,784.0,7.3979591836734695,0.10422529999050312
A-n32-k5,31,5,11,786.0,784.0,0.25510204081632654,0.10614760001772083
A-n32-k5,31,5,12,808.0,784.0,3.061224489795918,0.10419189999811351
A-n32-k5,31,5,13,848.0,784.0,8.16326530612245,0.10471839999081567
A-n32-k5,31,5,14,836.0,784.0,6.63265306122449,0.10553229998913594
A-n32-k5,31,5,15,801.0,784.0,2.1683673469387754,0.10661330001312308
A-n32-k5,31,5,16,852.0,784.0,8.673469387755102,0.10556999998516403
A-n32-k5,31,5,17,786.0,784.0,0.25510204081632654,0.10569600001326762
A-n32-k5,31,5,18,819.0,784.0,4.464285714285714,0.10608009999850765
A-n32-k5,31,5,19,810.0,784.0,3.316326530612245,0.10442449999391101
A-n32-k5,31,5,20,848.0,784.0,8.16326530612245,0.10299780001514591
A-n32-k5,31,5,21,816.0,784.0,4.081632653061225,0.10732389998156577
A-n32-k5,31,5,22,786.0,784.0,0.25510204081632654,0.1059782000083942
A-n32-k5,31,5,23,847.0,784.0,8.035714285714286,0.10773279998102225
A-n32-k5,31,5,24,786.0,784.0,0.25510204081632654,0.10498569998890162
A-n32-k5,31,5,25,816.0,784.0,4.081632653061225,0.10596330001135357
A-n32-k5,31,5,26,786.0,784.0,0.25510204081632654,0.10304719998384826
A-n32-k5,31,5,27,838.0,784.0,6.887755102040815,0.10534399998141453
A-n32-k5,31,5,28,801.0,784.0,2.1683673469387754,0.10596099999384023
A-n32-k5,31,5,29,803.0,784.0,2.423469387755102,0.10466330000781454
A-n32-k5,31,5,30,789.0,784.0,0.6377551020408163,0.10457019999739714
A-n33-k5,32,5,0,735.0,661.0,11.195158850226928,0.10762389999581501
A-n33-k5,32,5,1,740.0,661.0,11.951588502269288,0.10651169999619015
A-n33-k5,32,5,2,732.0,661.0,10.741301059001513,0.10414419998414814
A-n33-k5,32,5,3,715.0,661.0,8.169440242057489,0.10634359999676235
A-n33-k5,32,5,4,766.0,661.0,15.88502269288956,0.10468309998395853
A-n33-k5,32,5,5,751.0,661.0,13.61573373676248,0.10236620000796393
A-n33-k5,32,5,6,719.0,661.0,8.774583963691377,0.10549359998549335
A-n33-k5,32,5,7,720.0,661.0,8.925869894099849,0.10635089999414049
A-n33-k5,32,5,8,737.0,661.0,11.497730711043873,0.10514910001074895
A-n33-k5,32,5,9,734.0,661.0,11.043872919818456,0.10773740001604892
A-n33-k5,32,5,10,699.0,661.0,5.748865355521937,0.1040645000175573
A-n33-k5,32,5,11,709.0,661.0,7.2617246596066565,0.10490869998466223
A-n33-k5,32,5,12,715.0,661.0,8.169440242057489,0.10597829998005182
A-n33-k5,32,5,13,745.0,661.0,12.708018154311649,0.10632570000598207
A-n33-k5,32,5,14,712.0,661.0,7.715582450832073,0.10399889998370782
A-n33-k5,32,5,15,755.0,661.0,14.22087745839637,0.10599690000526607
A-n33-k5,32,5,16,727.0,661.0,9.984871406959153,0.1075369999743998
A-n33-k5,32,5,17,727.0,661.0,9.984871406959153,0.1046282000024803
A-n33-k5,32,5,18,732.0,661.0,10.741301059001513,0.10566249999101274
A-n33-k5,32,5,19,697.0,661.0,5.446293494704992,0.10553529998287559
A-n33-k5,32,5,20,705.0,661.0,6.656580937972769,0.10624160000588745
A-n33-k5,32,5,21,724.0,661.0,9.531013615733738,0.10726990000694059
A-n33-k5,32,5,22,712.0,661.0,7.715582450832073,0.11082339999848045
A-n33-k5,32,5,23,746.0,661.0,12.859304084720122,0.10791500000050291
A-n33-k5,32,5,24,721.0,661.0,9.07715582450832,0.10462679999182001
A-n33-k5,32,5,25,737.0,661.0,11.497730711043873,0.108752000000095
A-n33-k5,32,5,26,727.0,661.0,9.984871406959153,0.10815469999215566
A-n33-k5,32,5,27,743.0,661.0,12.405446293494705,0.1051900000020396
A-n33-k5,32,5,28,728.0,661.0,10.136157337367626,0.10476919999928214
A-n33-k5,32,5,29,729.0,661.0,10.287443267776098,0.1045989999838639
A-n33-k5,32,5,30,716.0,661.0,8.32072617246596,0.10537750000366941
A-n60-k9,59,9,0,1533.0,1354.0,13.220088626292467,0.17472260000067763
A-n60-k9,59,9,1,1544.0,1354.0,14.032496307237812,0.17472529999213293
A-n60-k9,59,9,2,1635.0,1354.0,20.753323485967503,0.17220079997787252
A-n60-k9,59,9,3,1574.0,1354.0,16.248153618906944,0.1736154000100214
A-n60-k9,59,9,4,1516.0,1354.0,11.964549483013293,0.17265329998917878
A-n60-k9,59,9,5,1530.0,1354.0,12.998522895125554,0.17206089998944663
